損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,, ,,, ,,, ,,***** 損益計算書項目合計,, ,,, ,,, ,,***** 損益計算書項目合計,,2678138 ,,,1953368 ,,,2071185 ,,***** 損益計算書項目合計,,1981172 ,,,1894570 ,,,2038621 ,
****  営業費用,, ,,, ,,, ,,****  営業費用,, ,,, ,,, ,,****  営業費用,,2678138 ,,,1953368 ,,,2071185 ,,****  営業費用,,1981172 ,,,1894570 ,,,2038621 ,
***   事業費,, ,,, ,,, ,,***   事業費,, ,,, ,,, ,,***   事業費,,2678138 ,,,1953368 ,,,2071185 ,,***   事業費,,1981172 ,,,1894570 ,,,2038621 ,
**    空港使用料(事業), , , , , , , , , ,**    空港使用料(事業), , , , , , , , , ,**    空港使用料(事業), ,1233351 , ,1291380 ,796776 ,162 ,923319 ,830359 ,111 ,**    空港使用料(事業), ,830359 , , ,763193 , , ,897523 , 
*     6111401  事業-普通着陸料, , , , , , , , , ,*     6111401  事業-普通着陸料, , , , , , , , , ,*     6111401  事業-普通着陸料, ,257664 , ,254760 ,146010 ,174 ,254760 ,154599 ,165 ,*     6111401  事業-普通着陸料, ,154599 , , ,137421 , , ,171776 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,257664 , ,254760 ,146010 ,174 ,254760 ,154599 ,165 ,      CNY  中国元, ,154599 , , ,137421 , , ,171776 , 
*     6111402  事業-停留料, , , , , , , , , ,*     6111402  事業-停留料, , , , , , , , , ,*     6111402  事業-停留料, ,35136 , ,34740 ,19911 ,174 ,34740 ,21082 ,165 ,*     6111402  事業-停留料, ,21082 , , ,18740 , , ,23424 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,35136 , ,34740 ,19911 ,174 ,34740 ,21082 ,165 ,      CNY  中国元, ,21082 , , ,18740 , , ,23424 , 
*     6111403  事業-航行援助施設利用料, , , , , , , , , ,*     6111403  事業-航行援助施設利用料, , , , , , , , , ,*     6111403  事業-航行援助施設利用料, ,714684 , ,681210 ,404988 ,168 ,386019 ,428811 ,90 ,*     6111403  事業-航行援助施設利用料, ,428811 , , ,381165 , , ,476456 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,714684 , ,681210 ,404988 ,168 ,386019 ,428811 ,90 ,      CNY  中国元, ,428811 , , ,381165 , , ,476456 , 
*     6111404  事業-空港保安料, , , , , , , , , ,*     6111404  事業-空港保安料, , , , , , , , , ,*     6111404  事業-空港保安料, ,225867 , ,320670 ,225867 ,142 ,247800 ,225867 ,110 ,*     6111404  事業-空港保安料, ,225867 , , ,225867 , , ,225867 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,225867 , ,320670 ,225867 ,142 ,247800 ,225867 ,110 ,      CNY  中国元, ,225867 , , ,225867 , , ,225867 , 
**    減価償却費(事業), , , , , , , , , ,**    減価償却費(事業), , , , , , , , , ,**    減価償却費(事業), , , , , , ,45301 , , ,**    減価償却費(事業), , , , , , , , , 
