損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
**    空港使用料(事業),773014 ,1376828 ,56 ,1093476 ,1410411 ,78 ,1291009 ,1376828 ,94 ,**    空港使用料(事業),1255626 ,1410411 ,89 ,1313969 ,1410411 ,93 ,1395719 ,1376828 ,101 ,**    空港使用料(事業),1307136 , , , , , , , , ,**    空港使用料(事業), , , , , , , , , 
*     6111401  事業-普通着陸料,148500 ,257664 ,58 ,169840 ,266252 ,64 ,254760 ,257664 ,99 ,*     6111401  事業-普通着陸料,263252 ,266252 ,99 ,254760 ,266252 ,96 ,263252 ,257664 ,102 ,*     6111401  事業-普通着陸料,242484 , , , , , , , , ,*     6111401  事業-普通着陸料, , , , , , , , , 
      CNY  中国元,148500 ,257664 ,58 ,169840 ,266252 ,64 ,254760 ,257664 ,99 ,      CNY  中国元,263252 ,266252 ,99 ,254760 ,266252 ,96 ,263252 ,257664 ,102 ,      CNY  中国元,242484 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6111402  事業-停留料, ,35136 , ,23160 ,36308 ,64 ,34740 ,35136 ,99 ,*     6111402  事業-停留料,35898 ,36308 ,99 ,34740 ,36308 ,96 ,35898 ,35136 ,102 ,*     6111402  事業-停留料,33066 , , , , , , , , ,*     6111402  事業-停留料, , , , , , , , , 
      CNY  中国元, ,35136 , ,23160 ,36308 ,64 ,34740 ,35136 ,99 ,      CNY  中国元,35898 ,36308 ,99 ,34740 ,36308 ,96 ,35898 ,35136 ,102 ,      CNY  中国元,33066 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6111403  事業-航行援助施設利用料,454064 ,714684 ,64 ,681096 ,738507 ,92 ,703799 ,714684 ,98 ,*     6111403  事業-航行援助施設利用料,681096 ,738507 ,92 ,703799 ,738507 ,95 ,703799 ,714684 ,98 ,*     6111403  事業-航行援助施設利用料,681096 , , , , , , , , ,*     6111403  事業-航行援助施設利用料, , , , , , , , , 
      CNY  中国元,454064 ,714684 ,64 ,681096 ,738507 ,92 ,703799 ,714684 ,98 ,      CNY  中国元,681096 ,738507 ,92 ,703799 ,738507 ,95 ,703799 ,714684 ,98 ,      CNY  中国元,681096 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6111404  事業-空港保安料,170450 ,369344 ,46 ,219380 ,369344 ,59 ,297710 ,369344 ,81 ,*     6111404  事業-空港保安料,275380 ,369344 ,75 ,320670 ,369344 ,87 ,392770 ,369344 ,106 ,*     6111404  事業-空港保安料,350490 , , , , , , , , ,*     6111404  事業-空港保安料, , , , , , , , , 
      CNY  中国元,170450 ,369344 ,46 ,219380 ,369344 ,59 ,297710 ,369344 ,81 ,      CNY  中国元,275380 ,369344 ,75 ,320670 ,369344 ,87 ,392770 ,369344 ,106 ,      CNY  中国元,350490 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    減価償却費(事業),62804 ,62804 ,100 ,62803 ,62803 ,100 ,58644 ,58644 ,100 ,**    減価償却費(事業),50640 ,58643 ,86 ,50641 ,58644 ,86 ,50646 ,58648 ,86 ,**    減価償却費(事業),50638 ,50638 ,100 ,50640 ,50640 ,100 , ,50643 , ,**    減価償却費(事業), ,50642 , , ,50640 , , ,47192 , 
*     6111705  事業-地上資産減価償却費,62804 ,62804 ,100 ,62803 ,62803 ,100 ,58644 ,58644 ,100 ,*     6111705  事業-地上資産減価償却費,50640 ,58643 ,86 ,50641 ,58644 ,86 ,50646 ,58648 ,86 ,*     6111705  事業-地上資産減価償却費,50638 ,50638 ,100 ,50640 ,50640 ,100 , ,50643 , ,*     6111705  事業-地上資産減価償却費, ,50642 , , ,50640 , , ,47192 , 
      JPY  日本円,62804 ,62804 ,100 ,62803 ,62803 ,100 ,58644 ,58644 ,100 ,      JPY  日本円,50640 ,58643 ,86 ,50641 ,58644 ,86 ,50646 ,58648 ,86 ,      JPY  日本円,50638 ,50638 ,100 ,50640 ,50640 ,100 , ,50643 , ,      JPY  日本円, ,50642 , , ,50640 , , ,47192 , 
**    外部委託費(事業),126118 ,151266 ,83 ,132413 ,149223 ,89 ,131308 ,149223 ,88 ,**    外部委託費(事業),359489 ,302220 ,119 ,146876 ,138466 ,106 ,148092 ,138466 ,107 ,**    外部委託費(事業),157918 , , , , , , , , ,**    外部委託費(事業), , , , , , , , , 
*     6112111  事業-一般管理業務委託費,126118 ,151266 ,83 ,132413 ,149223 ,89 ,131308 ,149223 ,88 ,*     6112111  事業-一般管理業務委託費,359489 ,302220 ,119 ,146876 ,138466 ,106 ,148092 ,138466 ,107 ,*     6112111  事業-一般管理業務委託費,157918 , , , , , , , , ,*     6112111  事業-一般管理業務委託費, , , , , , , , , 
