損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
**    空港使用料(事業),"773,014.00","1,376,828.00",56.14,"1,093,476.00","1,410,411.00",77.53,"1,291,009.20","1,376,828.00",93.77,**    空港使用料(事業),"1,255,626.00","1,410,411.00",89.03,"1,313,969.20","1,410,411.00",93.16,"1,395,719.20","1,376,828.00",101.37,**    空港使用料(事業),"1,307,136.00", , , , , , , , ,**    空港使用料(事業), , , , , , , , , 
*     6111401  事業-普通着陸料,"148,500.00","257,664.00",57.63,"169,840.00","266,252.00",63.79,"254,760.00","257,664.00",98.87,*     6111401  事業-普通着陸料,"263,252.00","266,252.00",98.87,"254,760.00","266,252.00",95.68,"263,252.00","257,664.00",102.17,*     6111401  事業-普通着陸料,"242,484.00", , , , , , , , ,*     6111401  事業-普通着陸料, , , , , , , , , 
      CNY  中国元,"148,500.00","257,664.00",57.63,"169,840.00","266,252.00",63.79,"254,760.00","257,664.00",98.87,      CNY  中国元,"263,252.00","266,252.00",98.87,"254,760.00","266,252.00",95.68,"263,252.00","257,664.00",102.17,      CNY  中国元,"242,484.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6111402  事業-停留料, ,"35,136.00", ,"23,160.00","36,308.00",63.79,"34,740.00","35,136.00",98.87,*     6111402  事業-停留料,"35,898.00","36,308.00",98.87,"34,740.00","36,308.00",95.68,"35,898.00","35,136.00",102.17,*     6111402  事業-停留料,"33,066.00", , , , , , , , ,*     6111402  事業-停留料, , , , , , , , , 
      CNY  中国元, ,"35,136.00", ,"23,160.00","36,308.00",63.79,"34,740.00","35,136.00",98.87,      CNY  中国元,"35,898.00","36,308.00",98.87,"34,740.00","36,308.00",95.68,"35,898.00","35,136.00",102.17,      CNY  中国元,"33,066.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6111403  事業-航行援助施設利用料,"454,064.00","714,684.00",63.53,"681,096.00","738,507.00",92.23,"703,799.20","714,684.00",98.48,*     6111403  事業-航行援助施設利用料,"681,096.00","738,507.00",92.23,"703,799.20","738,507.00",95.30,"703,799.20","714,684.00",98.48,*     6111403  事業-航行援助施設利用料,"681,096.00", , , , , , , , ,*     6111403  事業-航行援助施設利用料, , , , , , , , , 
      CNY  中国元,"454,064.00","714,684.00",63.53,"681,096.00","738,507.00",92.23,"703,799.20","714,684.00",98.48,      CNY  中国元,"681,096.00","738,507.00",92.23,"703,799.20","738,507.00",95.30,"703,799.20","714,684.00",98.48,      CNY  中国元,"681,096.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6111404  事業-空港保安料,"170,450.00","369,344.00",46.15,"219,380.00","369,344.00",59.40,"297,710.00","369,344.00",80.61,*     6111404  事業-空港保安料,"275,380.00","369,344.00",74.56,"320,670.00","369,344.00",86.82,"392,770.00","369,344.00",106.34,*     6111404  事業-空港保安料,"350,490.00", , , , , , , , ,*     6111404  事業-空港保安料, , , , , , , , , 
      CNY  中国元,"170,450.00","369,344.00",46.15,"219,380.00","369,344.00",59.40,"297,710.00","369,344.00",80.61,      CNY  中国元,"275,380.00","369,344.00",74.56,"320,670.00","369,344.00",86.82,"392,770.00","369,344.00",106.34,      CNY  中国元,"350,490.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    減価償却費(事業),"62,804","62,804",100.00,"62,803","62,803",100.00,"58,644","58,644",100.00,**    減価償却費(事業),"50,640","58,643",86.35,"50,641","58,644",86.35,"50,646","58,648",86.36,**    減価償却費(事業),"50,638","50,638",100.00,"50,640","50,640",100.00,"50,643","50,643",100.00,**    減価償却費(事業), ,"50,642", , ,"50,640", , ,"47,192", 
*     6111705  事業-地上資産減価償却費,"62,804","62,804",100.00,"62,803","62,803",100.00,"58,644","58,644",100.00,*     6111705  事業-地上資産減価償却費,"50,640","58,643",86.35,"50,641","58,644",86.35,"50,646","58,648",86.36,*     6111705  事業-地上資産減価償却費,"50,638","50,638",100.00,"50,640","50,640",100.00,"50,643","50,643",100.00,*     6111705  事業-地上資産減価償却費, ,"50,642", , ,"50,640", , ,"47,192", 
      JPY  日本円,"62,804","62,804",100.00,"62,803","62,803",100.00,"58,644","58,644",100.00,      JPY  日本円,"50,640","58,643",86.35,"50,641","58,644",86.35,"50,646","58,648",86.36,      JPY  日本円,"50,638","50,638",100.00,"50,640","50,640",100.00,"50,643","50,643",100.00,      JPY  日本円, ,"50,642", , ,"50,640", , ,"47,192", 
**    外部委託費(事業),"126,117.97","151,266.00",83.38,"132,413.17","149,223.00",88.74,"131,308.20","149,223.00",87.99,**    外部委託費(事業),"359,488.64","302,220.00",118.95,"146,875.71","138,466.00",106.07,"148,091.96","138,466.00",106.95,**    外部委託費(事業),"157,918.48", , , , , , , , ,**    外部委託費(事業), , , , , , , , , 
