row,id,money,sort,scholarship
0,0,9.9,hall,0
1,1,9.8,hall,0
2,8,9,hall,0
3,9,9.4,hall,0
4,10,9.3,hall,0
5,11,9.7,hall,0
6,19,8,hall,0
7,20,9,hall,0
8,21,9.5,hall,0
9,22,4.72608,hall,1
10,23,4.72608,hall,1
11,28,4.484954,hall,1
12,29,9.5,hall,0
13,36,9,hall,0
14,37,9.5,hall,0
15,56,9.2,hall,0
16,57,9.6,hall,0
17,62,9.8,hall,0
18,64,4.72608,hall,1
19,65,9.8,hall,0
20,66,9.8,hall,0
21,67,9,hall,0
22,70,9.8,hall,0
23,71,9.5,hall,0
24,74,9.8,hall,0
25,75,9,hall,0
26,76,9.9,hall,0
27,77,8,hall,0
28,82,9.6,hall,0
29,83,9.6,hall,0
30,88,8,hall,0
31,89,9.3,hall,0
32,92,4.677855,hall,1
33,93,4.340278,hall,1
34,98,8.6,hall,0
35,99,4.340278,hall,1
36,112,9,hall,0
37,113,9.5,hall,0
38,118,9.5,hall,0
39,119,9.5,hall,0
40,138,4.533179,hall,1
41,139,9.4,hall,0
42,142,9,hall,0
43,143,9.6,hall,0
44,152,9.5,hall,0
45,153,9,hall,0
46,154,9,hall,0
47,155,8.6,hall,0
48,158,9,hall,0
49,159,8.4,hall,0
50,160,4.62963,hall,1
51,161,4.581404,hall,1
52,162,9.5,hall,0
53,163,7,hall,0
54,172,8,hall,0
55,173,8,hall,0
56,178,9.5,hall,0
57,179,9,hall,0
58,184,9.6,hall,0
59,185,9.6,hall,0
60,186,3.858025,hall,1
61,187,9,hall,0
62,192,8,hall,0
63,193,8.6,hall,0
64,194,9.5,hall,0
65,195,8.6,hall,0
66,198,9.6,hall,0
67,199,9.6,hall,0
68,206,9.5,hall,0
69,207,8,hall,0
70,212,9.9,hall,0
71,213,9,hall,0
72,216,9.6,hall,0
73,217,8.6,hall,0
74,220,4.340278,hall,1
75,221,4.243827,hall,1
76,224,9.6,hall,0
77,225,9.6,hall,0
78,230,9.1,hall,0
79,231,9.5,hall,0
80,232,4.62963,hall,1
81,233,8,hall,0
82,236,9.6,hall,0
83,237,9,hall,0
84,238,4.62963,hall,1
85,239,9.8,hall,0
86,244,4.340278,hall,1
87,245,4.581404,hall,1
88,254,9.6,hall,0
89,255,8.6,hall,0
90,258,9.3,hall,0
91,259,9.6,hall,0
92,266,7.6,hall,0
93,267,9.3,hall,0
94,282,9.9,hall,0
95,283,9.9,hall,0
96,288,9.6,hall,0
97,289,8.6,hall,0
98,294,9.6,hall,0
99,295,9.6,hall,0
100,296,4.292052,hall,1
101,297,4.340278,hall,1
102,300,9.6,hall,0
103,301,9.9,hall,0
104,306,9.6,hall,0
105,307,8.5,hall,0
106,322,9.5,hall,0
107,323,9,hall,0
108,330,9.5,hall,0
109,331,9.7,hall,0
110,346,9.6,hall,0
111,347,9.6,hall,0
112,352,8.6,hall,0
113,353,9,hall,0
114,354,9.6,hall,0
115,355,9.8,hall,0
116,366,9.6,hall,0
117,367,9.6,hall,0
118,368,8.6,hall,0
119,369,9.2,hall,0
120,372,9.3,hall,0
121,373,8.5,hall,0
122,398,4.340278,hall,1
123,399,4.581404,hall,1
124,400,7.6,hall,0
125,401,8.6,hall,0
126,406,9,hall,0
127,408,3.858025,hall,1
128,409,4.62963,hall,1
129,412,4.581404,hall,1
130,413,4.581404,hall,1
131,426,9,hall,0
132,427,9.4,hall,0
133,430,4.340278,hall,1
134,431,4.147377,hall,1
135,438,9.2,hall,0
136,439,9.5,hall,0
137,440,9.8,hall,0
138,441,9.6,hall,0
139,448,9.6,hall,0
140,449,9.3,hall,0
141,450,9,hall,0
142,451,9.6,hall,0
143,470,9.6,hall,0
144,471,8,hall,0
145,476,4.72608,hall,1
146,477,4.340278,hall,1
147,480,4.701968,hall,1
148,481,9.8,hall,0
149,496,9.6,hall,0
150,497,9.6,hall,0
151,504,9,hall,0
152,505,9.98,hall,0
153,508,9.8,hall,0
154,509,9.9,hall,0
155,510,4.72608,hall,1
156,511,9,hall,0
157,522,4.774306,hall,1
158,523,4.62963,hall,1
159,524,9.8,hall,0
160,525,9.8,hall,0
161,528,4.677855,hall,1
162,529,4.340278,hall,1
163,532,9.9,hall,0
164,533,8.6,hall,0
165,534,4.243827,hall,1
166,535,4.62963,hall,1
167,536,9,hall,0
168,537,4.581404,hall,1
169,552,9.9,hall,0
170,553,9.5,hall,0
171,564,4.774306,hall,1
172,565,4.388503,hall,1
173,566,9.1,hall,0
174,567,9.2,hall,0
175,572,9.6,hall,0
176,573,9.2,hall,0
177,576,4.62963,hall,1
178,577,4.340278,hall,1
179,580,9.9,hall,0
180,581,9.6,hall,0
181,584,9.8,hall,0
182,585,9.6,hall,0
183,596,9.2,hall,0
184,597,9.9,hall,0
185,602,9.3,hall,0
186,603,9.4,hall,0
187,606,9.6,hall,0
188,607,9,hall,0
189,612,9.8,hall,0
190,613,9,hall,0
191,616,9.5,hall,0
192,617,4.62963,hall,1
193,624,9.6,hall,0
194,625,8,hall,0
195,626,9,hall,0
196,627,9.1,hall,0
197,634,9.5,hall,0
198,635,9.5,hall,0
199,636,9.5,hall,0
200,637,4.340278,hall,1
201,648,9.6,hall,0
202,649,9.7,hall,0
203,650,4.195602,hall,1
204,651,4.340278,hall,1
205,658,9.9,hall,0
206,659,9.4,hall,0
207,662,9.6,hall,0
208,663,8.6,hall,0
209,674,9,hall,0
210,675,9.75,hall,0
211,680,9.8,hall,0
212,681,9.9,hall,0
213,690,9.4,hall,0
214,691,9.8,hall,0
215,694,4.581404,hall,1
216,695,9.5,hall,0
217,696,9,hall,0
218,697,9.6,hall,0
219,706,8.8,hall,0
220,707,4.147377,hall,1
221,708,9.5,hall,0
222,709,9.88,hall,0
223,712,4.581404,hall,1
224,713,4.581404,hall,1
225,714,9,hall,0
226,715,9.8,hall,0
227,718,4.72608,hall,1
228,719,4.340278,hall,1
229,732,8.6,hall,0
230,733,4.340278,hall,1
231,742,9.6,hall,0
232,743,9.6,hall,0
233,744,9.5,hall,0
234,745,9.9,hall,0
235,746,9.6,hall,0
236,747,9,hall,0
237,754,8,hall,0
238,755,8,hall,0
239,756,4.340278,hall,1
240,757,4.436728,hall,1
241,762,8.6,hall,0
242,763,9.5,hall,0
243,770,9.6,hall,0
244,771,9.7,hall,0
245,772,9.9,hall,0
246,773,9.6,hall,0
247,774,9.6,hall,0
248,775,9.6,hall,0
249,786,4.436728,hall,1
250,787,4.557292,hall,1
251,796,9.2,hall,0
252,797,9.5,hall,0
253,800,8.7,hall,0
254,801,3.858025,hall,1
255,802,4.62963,hall,1
256,803,4.581404,hall,1
257,816,9.2,hall,0
258,817,9.8,hall,0
259,820,4.62963,hall,1
260,821,4.72608,hall,1
261,822,9.9,hall,0
262,823,9,hall,0
263,824,9.6,hall,0
264,826,9.2,hall,0
265,827,9.6,hall,0
266,840,9.8,hall,0
267,841,9.8,hall,0
268,844,9.9,hall,0
269,845,9.8,hall,0
270,878,9,hall,0
271,879,9.3,hall,0
272,882,9.5,hall,0
273,883,9.3,hall,0
274,886,8.1,hall,0
275,887,9.6,hall,0
276,890,9,hall,0
277,891,9.6,hall,0
278,894,4.774306,hall,1
279,895,4.72608,hall,1
280,896,9.6,hall,0
281,897,9.9,hall,0
282,898,9,hall,0
283,899,4.340278,hall,1
284,900,9,hall,0
285,901,9.1,hall,0
286,908,9.3,hall,0
287,909,4.581404,hall,1
288,916,9.6,hall,0
289,917,9.6,hall,0
290,928,8.4,hall,0
291,929,9,hall,0
292,932,4.340278,hall,1
293,933,4.62963,hall,1
294,936,9,hall,0
295,937,9,hall,0
296,940,3.809799,hall,1
297,941,4.533179,hall,1
298,946,9.6,hall,0
299,947,9.6,hall,0
300,948,8.8,hall,0
301,949,4.436728,hall,1
302,958,4.340278,hall,1
303,959,4.677855,hall,1
304,966,4.774306,hall,1
305,967,9.5,hall,0
306,970,9.6,hall,0
307,971,9,hall,0
308,988,4.147377,hall,1
309,989,4.581404,hall,1
310,990,4.72608,hall,1
311,991,4.72608,hall,1
312,996,9.8,hall,0
313,997,9.96,hall,0
314,998,9,hall,0
315,999,9.6,hall,0
316,1002,9.6,hall,0
317,1003,9.3,hall,0
318,1006,9,hall,0
319,1007,9.5,hall,0
320,1010,9.9,hall,0
321,1011,9.6,hall,0
