POS,ínãÊ,ìXï‹,∏◊Ω,ó∑ãqêî,NET2,ëOîNî‰,ç\ê¨î‰,íPâø,ëOîNó∑ãqêî,ëOîNNET2,ç\ê¨î‰,íPâø
ê¨ìséxìX,ê¨ìs,ìSçq,C(CDZPJ),36,"250,435 ",81.2%,2.7%,"6,957 ",42 ,"308,296 ",0.5%,"7,340 "
ê¨ìséxìX,ê¨ìs,C-TRIP,C(CDZPJ),38,"236,420 ",136.4%,2.6%,"6,222 ",25 ,"173,310 ",0.3%,"6,932 "
ê¨ìséxìX,ê¨ìs,âÿè§,C(CDZPJ),30,"190,113 ",51.1%,2.1%,"6,337 ",54 ,"372,172 ",0.6%,"6,892 "
ê¨ìséxìX,ê¨ìs,CTO,C(CDZPJ),17,"68,062 ",23.0%,0.7%,"4,004 ",67 ,"295,956 ",0.7%,"4,417 "
ê¨ìséxìX,ê¨ìs,â¿äÏ,C(CDZPJ),4,"20,154 ",-,0.2%,"5,039 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,ä¬âF,C(CDZPJ),2,"12,186 ",20.3%,0.1%,"6,093 ",9 ,"60,092 ",0.1%,"6,677 "
ê¨ìséxìX,ê¨ìs,î¸àü,C(CDZPJ),2,"6,803 ",5.7%,0.1%,"3,402 ",20 ,"119,317 ",0.2%,"5,966 "
ê¨ìséxìX,ê¨ìs,élêÏó¥„ƒ,C(CDZPJ),1,"5,615 ",-,0.1%,"5,615 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,ÇªÇÃëºAGT,C(CDZPJ),1,"5,357 ",-,0.1%,"5,357 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,îÚó¥é¿ã∆,C(CDZPJ),0,0 ,0.0%,0.0%,-,4 ,"27,162 ",0.0%,"6,791 "
ê¨ìséxìX,ê¨ìs,â¿äÏ,YE(Y),0,0 ,0.0%,0.0%,-,4 ,"25,310 ",0.0%,"6,328 "
ê¨ìséxìX,ê¨ìs,î¸àü,YE(Y),0,0 ,0.0%,0.0%,-,1 ,"11,775 ",0.0%,"11,775 "
ê¨ìséxìX,ê¨ìs,âÿè§,HI(BMUHQ),57,"192,041 ",149.4%,2.1%,"3,369 ",31 ,"128,528 ",0.3%,"4,146 "
ê¨ìséxìX,ê¨ìs,ìSçq,HI(BMUHQ),41,"136,842 ",39.3%,1.5%,"3,338 ",96 ,"348,636 ",1.0%,"3,632 "
ê¨ìséxìX,ê¨ìs,C-TRIP,HI(BMUHQ),19,"75,808 ",52.6%,0.8%,"3,990 ",40 ,"144,065 ",0.4%,"3,602 "
ê¨ìséxìX,ê¨ìs,î¸àü,HI(BMUHQ),7,"33,950 ",83.4%,0.4%,"4,850 ",12 ,"40,721 ",0.1%,"3,393 "
ê¨ìséxìX,ê¨ìs,ä¬âF,HI(BMUHQ),7,"25,663 ",885.2%,0.3%,"3,666 ",1 ,"2,899 ",0.0%,"2,899 "
ê¨ìséxìX,ê¨ìs,CTO,HI(BMUHQ),6,"25,052 ",25.6%,0.3%,"4,175 ",25 ,"97,847 ",0.3%,"3,914 "
ê¨ìséxìX,ê¨ìs,élêÏó¥„ƒ,HI(BMUHQ),1,"3,153 ",-,0.0%,"3,153 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,îÚó¥é¿ã∆,HI(BMUHQ),2,"2,997 ",-,0.0%,"1,499 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,â¿äÏ,HI(BMUHQ),0,0 ,0.0%,0.0%,-,2 ,"9,700 ",0.0%,"4,850 "
ê¨ìséxìX,ê¨ìs,íÜêÏçëç€,HI(BMUHQ),0,0 ,0.0%,0.0%,-,1 ,"2,224 ",0.0%,"2,224 "
ê¨ìséxìX,ê¨ìs,ñQíB,HI(BMUHQ),0,0 ,0.0%,0.0%,-,2 ,"6,328 ",0.0%,"3,164 "
ê¨ìséxìX,èdåc,òAñL,HI(BMUHQ),0,0 ,0.0%,0.0%,-,1 ,"4,850 ",0.0%,"4,850 "
ê¨ìséxìX,ê¨ìs,CTO,MID(VWSL),491,"517,724 ",283.6%,5.7%,"1,054 ",105 ,"182,569 ",1.1%,"1,739 "
